file	paragraph	score	markers	text
043.非“痴”.txt	23	4		昨天看《断肠飘香不了情》，那男的责怪对他的苦恋不舍的伯爵夫人道：“你对我的念头只不过是狂想，是你发明的！”可怜的是，爱情最易使人发生“狂想”，“发明”出许许多多的奇迹与巧合，而将这些现象解释为她爱他，她对他不坏的举动！
045.非“痴”又一章.txt	11	4		《马戈默思录》甚好，可多作，多抄与我，我不见得有意见，故亦不必逐条讨论，不过仍请照寄可也。你在默思录中说：“能够认识一切价值都是肯定了假定之后，你才能透视许多问题，达到高度的客观。”×××是被你肯定了的一个假定，可是你“透视”了吗？ “高度的客观”了吗？
045.非“痴”又一章.txt	23	4		请你速烦宏武为我将此题译成德文寄来，越快越好。此题吾颇饶兴趣，连日搜求材料，动手动脚，身心颇有安顿处。人生快乐的条件之一在“时时有个自己感兴趣的问题想研究”。你说：“……旧的幻影不消，也不是件好事，也许应该忙些。……”此论甚是。
046.蛋炒饭.txt	8	4		李敖今日来舍下，盖逢×小姐双十芳辰，虽强作笑颜，然不欢之情仍难遮掩，我除贬降×某价值以外，无言以慰。这厮论文事，不知告你也未？姚老望他改题目，他断然拒绝，非作宋代婚姻不可，我说他是要藉此机会一发胸中多日闷郁之气，你以为然否？他亦不否认，然厚颜以左丘失明而作国语，司马受腐而作史记自嘲，作什么题目无关紧要，但如与老师们闹别扭，则可能影响他的研究所前途，吴相湘谓他“自掘（‘绝’) 后路”不为无理，但此人强绝，我不能劝，我知你亦不能劝，奈何！庄因日与人猿为伍，吾人面倒常见，但少在一起，我生活尚佳，开始忙论文，本有大志，今已感灰心，译书一册以搪塞之，台北气候日冷，但对心情有益，盖可使之冷冻也。闻君“侠”心未断，今得伊人在美地址，思有所蠢动，我等颇关切，望三思而后行。
046.蛋炒饭.txt	32	4		你若不气，此诗就寄给你，此五句名曰《王八弹词》。第一个“我”字乃新汉自谦之辞，第二个“我”字才是阁下，故“王八非老马”，或“老马不是王八”。
049.好多个“最后一次”.txt	11	4		你给×的信，老实说，我实在不赞成，即使如你所说，你的态度是强硬的可是那又有什么必要呢？我愿意武断地不客气地说，凡是自我跟她谈过以后，你再对她的任何表示，我都觉得不太好的，没有必要的，我真不晓得你有几个“最后一次”？我那天是代表一个“最后一次”去的，×一定奇怪怎么那“最后一次”以后又接二连三地来了“最后一次”呢？因此，我对你寄来这封信，虽然有你赋予可烧掉的权利，我决定还是把它保留起来，我的固执的看法率直奉陈，请马戈勿怪也。
051.跋《给马戈的五十封信》.txt	12	4		无论如何论断，我必须说，我是台大清谈派中，十年来唯一“没有出息”的痴汉，也是十年来唯一不改“狂奴故态”的蛮人。所以我说，我是一个顽固者，我在十年前就确定了我的人生方式，十年来的许多思想趋向和言行历程，几乎都在宿命和谶语轨道上行进。十年前我所想象十年后的我，我已把它一一挤兑，可是所能听证的朋友们，却已一一浮沉星散。浮者自然爬得高，沉者自然摔得重，只剩下那不高不重的滑头分子李敖之，仍旧半夜三更，独自故作壮语，津津乐道他是一个“立小志的完成家”！
051.跋《给马戈的五十封信》.txt	13	4		为了没有职业，混几个小钱花花，我现在把我在八年前三个多月里写给马戈的五十封信，稍加删节，统一发表。这里面只限于我给马戈的信，大多都是在情绪飘荡下，随手写的，自然许多都不成意思，荒唐可笑，自然也不表示全是我今天的思想。有兴趣仔细读我旧信的朋友，当然多少可从这些信中，抓到李敖思想与言行演化的痕迹，这些痕迹除了有“混几个小钱花花”的“价格”外，并没有多少“价值”。如果硬要挖出点价值来充数，姑且可说是一百年后教育史家獭祭的好材料。他们也许可以从这些信中，推想一个一百年前台大坏学生的虚无生活和坦白生活，从而下这样的结论：“钱思亮统治下的台湾大学，竟是这样的腐化！”
024.不知情绪为何物.txt	6	3	他说	昨日开始上课第一天，这小子又乱闹起情绪来，一脸情绪面孔，狂吸纸烟，我陪他乱跑，他说我也闹情绪，真是活见鬼，我现在狠头狠脑的，简直不知情绪为何物，例如昨日第一次上课就见×在教室中，只她一人，我也一人而入，教室中只我和她两人，后来又来了三位，此老李《中国史学史专题研究》之冷落场面也。吾视而不见，如无此人，真的，她已完全被我否定了，影子不如。
029.黄狗与疯狗.txt	2	3	从前	八个多小时的火车，想你必已很疲乏了，何况三条汉子轮流同坐一个座位，那位黄显昌是我中学时代的老朋友，很有见解和才华，为本省同学之佼佼者，我从前呼他为“黄狗”，他呼我为“疯狗”，昨天看他一身黄裳，真是名符其实里外合一的黄狗了。此人甚好，可深交之。他有一个日本朋友，如今不知怎样了。
