file	paragraph	line_start	line_end	char_count	score	snippet
009.“国民大会”见闻点滴（李韫晖）.txt	5	9	9	569	4	我爱人樊伯山于一九四五年五月因病去世，我带着五个孩子困居南京。听说有几位我认识的朋友回来了，就去求他们给我想办法。好容易一九四六年十一月，才被派到经济部档案室，管一部分会计卷宗。微薄工资，实不足以维持一家六口人的生活，何况物价又天天上涨，形势逼人。一天，下班后，去梅园新村老友杨伯安先生家，他也是我的老师，所以很同情我的苦况。当时第一次制宪代表会刚开过，蒋介石...
009.“国民大会”见闻点滴（李韫晖）.txt	8	15	15	237	3	大会举行开幕典礼的第一天，倒也十分隆重。台上坐满主席团的人，蒋介石居中坐，胡适之坐在他旁边，我才清楚地看见了这两位知名人物。代表们都对号入座，也真巧，我的一旁是陕西省主席祝绍周的夫人刘宦，一旁是李宗仁的夫人郭德洁，这两位女士倒很和蔼，没有架子，并且都穿得很朴素，显得端庄大方，我们谈话因之也就随便了。一天我笑着说，几生修道，得居于二位夫人之间，她俩也笑了。刘宦...
009.“国民大会”见闻点滴（李韫晖）.txt	13	25	25	97	3	解放后，有人问我见过宋美龄吧，我很坦然地说见过，又追问详情，我笑着说了句诗：“万人丛中一握手，使我衣袖三年香。”不意“文化革命”时，说我同宋美龄握过手、照过相，竟成了我的一条罪状，真是哪里说起！
009.“国民大会”见闻点滴（李韫晖）.txt	16	31	31	185	4	第一次选举结果，于等都落选，最后是孙、李两人竞选，会场的空气就不同了，两方拉关系的人也是活动得非常紧张。青年党已有专人向自己的代表暗示选李，民社党也是在秘密地通知他们的人，看来这两党暗中与李出力，想必非无因也。票数公布出来，李竟多于孙，当选为副总统。拥孙的人当时就吵开了，会场秩序立刻有些乱了，我还害怕他们会打架。蒋介石听到孙科落选，勃然大怒，大骂那些为孙活动...
009.“国民大会”见闻点滴（李韫晖）.txt	25	49	49	243	5	在举行大总统、副总统就职典礼的先一天，李宗仁派人去打听蒋介石在这天穿什么衣服，回报说：蒋要穿西式大礼服。李即马上命令秘书处给他预备西式大礼服。谁知第二天一清早，突然接电话，说蒋又要改穿长袍马褂了，可李从来就不穿长袍马褂，时间迫促，赶做也来不及了，没办法只好改穿了一套黄绒军装，到了大会堂，宣誓就职时，蒋长袍马褂站在前面，李穿军装站在后面，这样一比，李好似一名侍...
010.有关CC点滴见闻录（黄应昌）.txt	5	9	9	313	4	我到财委会后，不用说与万长祐天天见面，程瑞谦在工商部充当小职员，位置最低，星期天也常常碰到。大家聚在一起时，万长祐总说忙，可是程瑞谦听不下去。背后程瑞谦说万是在替叶秀峰（杨州人，八中校长，陈立夫在北洋大学的同学）做私事，叶秀峰是在搞CC。我问他什么是CC？他说CC就是中央俱乐部，由陈立夫与叶秀峰两个人搞的，老万是替他们做会计。事实上，有时万长祐在上班时迟到，...
010.有关CC点滴见闻录（黄应昌）.txt	11	21	21	153	4	南京市党部是中央党部眼面前的一个党部。周伯敏（于右任的外甥）、楼桐荪（立法院的委员）两人肯定不是CC。但是CC在这方面安插了哪些人，当时实在糊涂得很。事实上首都南京党内元老太多，元老的关系人更多。听说一九二八年南京党员登记时，曾以难题考考元老吴稚晖，结果惹得吴稚晖光火了。最后一天我去登记时连口试都取消了。
010.有关CC点滴见闻录（黄应昌）.txt	14	27	27	190	3	为什么说政治大学与CC关系密切？政治大学在蒋介石的名义下由校务委员主持，政治大学直属于中央党部，经费由党部划拨，而中央党部最有权力的首先是CC。尽管表面上冠冕堂皇，列名的元老不少，实质脱离不了CC二陈的管理。自从一九二八年冬天发生政校学生游行请愿事件，违反了纪律，经过“整顿”后，再没有听到什么风波了。有人这样说：这个学校是一个进行奴化教育的学校。我的看法它是...
010.有关CC点滴见闻录（黄应昌）.txt	27	53	53	304	5	早在一九三一年左右，我在中央统计处担任征集课总干事的时候，有一天我见到吴大钧交给同事孔鲁一分油印材料。我跑去看看，原来是“穷人会”的章程，是一个“标会”的性质，按期集资，依次得会。参与人有吴大钧、余井塘、赵棣华、闻亦有、吴保丰、叶秀峰等。当时我们室内的几个同事说，他们倒自认为是穷人，我们又成了什么人呢？那时党部内拿的是生活费，最高的中央委员也只有三百元，较之...
010.有关CC点滴见闻录（黄应昌）.txt	32	63	63	340	3	最初CC在江苏省的班底，大致有：程天放（江西人，秘书长，是CC的外围）；辜仁发（山西人，民政厅长，属政学系）；赵棣华（财政厅长，属CC）；沈伯先（浙江人，建筑厅长，陈果夫的妹婿）；周佛海（湖南人，教育厅长，可以直接见到蒋介石，虽不是CC，是CC拉拢的对象）；项致庄（浙江人，保安处长，据说是蒋介石保定军校的同学，也是CC拉拢的对象）；祝平（江阴人，地政局长，为...
010.有关CC点滴见闻录（黄应昌）.txt	36	71	71	356	4	省党部与省政府的关系，在以党治国的幌子下，本来权力应该高于省政府。但是由于省政府当权者都是通过种种活动上了台的声势赫赫的人，就逐渐形成了争权夺利的对立局面。可是陈果夫是“陈家党”的头子，来主持省政后，CC以叶秀峰的冲锋搞垮了FF后，江苏省党部差不多就是CC的天下了。那时江苏省党部的书记是于锡来（金坛人），委员有周绍成（扬州人）、周厚钧（扬州人）、凌绍祖、钮光...
010.有关CC点滴见闻录（黄应昌）.txt	42	83	83	337	3	侍三处成立在中央训练团第一期训练结束后的一九三九年七月。中央训练团设在重庆，最初的训练是三个月一期，后来渐渐缩短为一个月，团长当然是蒋介石，秘书长是政学系的王世杰，教育长是王东原。侍三处的组长副组长（除了姜超岳、何仲萧外），大都是中央训练团第一期受过训的。我曾听见朱雨峰（阜宁人，中央大学毕业，抗日前顾祝同时期曾在溧水、溧阳一带做过教育局长，因敲竹杠，没有行贿...
010.有关CC点滴见闻录（黄应昌）.txt	43	85	85	730	4	到中央训练团受训的人员，来自各方面，包括了蒋介石面前的各个派系的中层人物，每个人先由各单位主管核定指派，到中央训练团受训时先填详细出身履历表（好像还有自传），训练由训练团做好总结。这些表格一批一批地由侍三处第七组向中训团搜罗来，通过审阅，其中出身履历表送到第八组登记分类装成各种卡片，并分类统计数字，中训团的总结送到第九组做为考核的初步资料。后来第七组的工作又...
010.有关CC点滴见闻录（黄应昌）.txt	45	89	89	257	6	一九四一年，拟定派我到成都出差，因一个河南人争这一差事，结果大家都没有能够成行。又一次罗时实辞掉第九组组长兼职，梅嶙高提升为组长，原定由我填补梅嶙高的副组长缺，结果又被政校学生王慕尊抢去了。适巧我的同班同学田定庵（南通人，那时他是政学系张公权交通部材料司的帮办）和我的同乡李泽民（在第九组与梅嶙高、罗时实都是同班同学，也是不满意侍三处、郁郁不得志的一个人）都劝...
011.抗战前“中统”在南通的活动（姜颂平）.txt	13	25	25	633	11	中统局的中上层成员，绝大部分是中共叛徒。军统局的成员，绝大部分是黄埔军校毕业的军人。因此，两局的作风不同。军统局对被捕人员，基本上采用压力，也就是刑讯。中统局则采用软硬兼施的手段。开始用说服的方法，歪曲马克思列宁主义，着重指出苏联实行新经济政策不是马克思主义，共产主义不适用于中国等等谬论，企图以此动摇被捕人员的革命思想。说服一次不行，再接二连三来几次。如被捕...
011.抗战前“中统”在南通的活动（姜颂平）.txt	14	27	27	174	4	有些革命意志不够坚强的人，经一种或两种酷刑后就动摇了。特务们观察出被捕人有动摇迹象后，就改用诱骗方法。凡意志坚强，在中共地位相当高，虽经多种刑讯仍不变节的人，在军统局就会处以死刑。但中统局则相反，采用狡猾手段。例如被捕人经多次刑讯，身体受了伤，就请医生替他诊治，生活上给予特别照顾；有的还派专人陪同他到风景区游山玩水，甚至不惜用“美人计”加以腐蚀。
011.抗战前“中统”在南通的活动（姜颂平）.txt	15	29	29	64	4	蒋介石曾告诫中统、军统特务们说：“对被捕的共党人员，宁可错杀一万，也不能轻放一个。”特务们就照这个原则对付被捕的中共地下人员的。
011.抗战前“中统”在南通的活动（姜颂平）.txt	18	35	35	286	4	上面讲过，南通县的中统特务组织创建于一九三一年初夏，由国民党南通县党部执行委员兼“肃反专员”姚烨负责搞特务活动，未见成效。到一九三二年江苏省特务室南通办事处成立后，才积极贯彻自首政策。原中共南通县委书记吴占兰（吴敬一）、陈俊先后叛党，出卖了南通县的整个地下党组织，干部牺牲的牺牲、被捕的被捕，幸存者则潜避外地。国民政府颁布自首条例后，江苏省特务室南通办事处大肆...
011.抗战前“中统”在南通的活动（姜颂平）.txt	20	39	39	602	4	一九三四年八月中统南通县特务室成立后，第一件事就是组织训练自首分子，采取严格的手段，“恩威兼施”。凡属自首分子，不管自动自首或被捕后自首的，也不管其本人愿意与否，一律做为情报员看待，受县特务室监督、领导，迫令搞经常性的情报侦察活动。主要对象是中共地下组织和人员。为便于管训起见，采取集体领导，即小组领导方式。由于南通县的自首分子人数多，县特务室的人少不易掌握，...
011.抗战前“中统”在南通的活动（姜颂平）.txt	24	47	47	582	3	原南通县余东、益余两区中共党员汤慰宗（余东区汤家苴人。南通东乡中共党组创建人之一）、姜颂平（益余区石子镇人，一九三〇年春参加中共），由于叛徒陈俊（王梦祥）出卖，于一九三三年先后在南通（汤于三三年春）、上海（姜于三三年七月）被捕，经贿赂法官得宣告无罪保释后，旋即被中统南通县特务室逮捕，勒令办理自首手续。汤、姜二人深知南通东乡的地主们对他俩有刻骨仇恨，办完自首手...
012.国民党特务机关的一所秘密监狱（黄炜）.txt	9	17	17	391	4	被逮捕到“屋顶花园”去的人，都要先被捜身，所有的钞票、字据以至裤带都要没收，然后才推进黑暗的牢房。房中没有床，只有几堆稻草丢在潮湿的地上，大家或坐或睡都是在这散发霉味的稻草上，三个人同盖一条那时国民党发给士兵用的薄薄的旧棉被。特务们为防止“犯人”打破木房逃跑，每晚八、九点钟时，就拿一根长棕绳将三个人的双手反背捆紧，人被反背捆住双手后，就只能平仰着睡，三人当中...
012.国民党特务机关的一所秘密监狱（黄炜）.txt	10	19	19	194	4	在“屋顶花园”的牢房里，每日两餐由特务们随便发给，送多少就吃多少，吃不饱也没有加的；有时连菜也没有，更谈不上吃开水、洗脸了。同时，还禁止接见、通信。记得一天夜晚，黄时烽被逮捕进去，他问特务这是什么地方，好写信回家叫送衣服被条来，特务邓超龙冷笑着说：“这是什么地方，你不知道吗？我告诉你，这是‘世界大旅社’，食宿不要钱，你多住几天吧？哼！写信回家？想得开心！”说...
012.国民党特务机关的一所秘密监狱（黄炜）.txt	14	27	27	378	6	特务们经常在深夜进行审讯，花园内的“花厅”便是审讯室。特务头子王伯奇最横蛮，他手中总不离一根黑色的手杖，审讯时的第一句话就是问：“你是不是共产党？快说！”如果回答“是”，他就抡起手杖朝被审讯者身上抽打，像一头发疯的野兽连声吼叫：“你危害民国！”如果答应“不是”，他也是暴跳如雷，照样用手杖抽打说：“你还装！你还不老实！你说不说？”或者冷笑着说：“你搞的这一套，...
012.国民党特务机关的一所秘密监狱（黄炜）.txt	15	29	29	522	6	在软硬兼施都一无所获后，特务们便采取“车轮战术，疲劳轰炸”，有时从晚上八、九点钟开始审讯一直进行到天亮。他们还采用极为残酷的刑讯，如对宋大辉，他在某天晚上被审讯时拒不回答。特务们便集中起来对付，起初是王伯奇的手杖，后是朱兴伟的“理论”，钟华鸣的“感化”等等。在这些方法都没有达到他们预期的效果后，就开始施展丧心病狂的酷刑，先是用大棍打，后用细鞭子抽。宋大辉仍是...
012.国民党特务机关的一所秘密监狱（黄炜）.txt	16	31	31	160	7	“屋顶花园”中酷刑拷打的事是经常发生的，后来陶生民告诉我，她们“女犯”的牢房距离花园近，经常在深更半夜听到特务们的咆哮声和被刑讯者的惨叫声。她本人和其他“女犯”也同样遭受过王伯奇的手杖抽打。当时，邱在先作了一首打油诗：“小小窗口一线光，屋顶花园变牢房。草亭拷打政治犯，院中坐有八蛋王。”“八蛋王”意指王伯奇为“忘八蛋”。
